date,filename,original_image,result_image,persons,cars,buses,trucks,motorcycles,bicycles,traffic_lights,stop_signs,total_vehicles,total_people,total_objects,avg_confidence,min_confidence,max_confidence,vehicle_density,most_detected_object,processing_time,traffic_level,risk_level
2026-06-30 15:38:37,9bda0ba57d_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,static/uploads/9bda0ba57d_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,static/results/detected_9bda0ba57d_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,2,7,0,0,0,0,0,0,7,2,9,0.6859,0.4296,0.8828,77.78,Cars,0.26,Medium,Medium
2026-06-30 15:59:52,65097383b0_rain-2615166_1280.jpg,static/uploads/65097383b0_rain-2615166_1280.jpg,static/results/detected_65097383b0_rain-2615166_1280.jpg,0,4,0,0,0,0,3,0,4,0,7,0.7209,0.4827,0.9317,57.14,Cars,0.54,Low,Low
2026-06-30 17:18:03,22bbc7df75_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,static/uploads/22bbc7df75_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,static/results/detected_22bbc7df75_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,0,9,0,0,0,0,0,0,9,0,9,0.7802,0.4422,0.9285,100.0,Cars,0.69,Medium,Low
2026-06-30 17:18:33,d650aa0367_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,static/uploads/d650aa0367_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,static/results/detected_d650aa0367_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,0,9,0,0,0,0,0,0,9,0,9,0.7802,0.4422,0.9285,100.0,Cars,0.37,Medium,Low
2026-07-01 03:35:22,78a8844708_WhatsApp_Image_2026-06-26_at_6.44.47_PM_1.jpeg,static/uploads/78a8844708_WhatsApp_Image_2026-06-26_at_6.44.47_PM_1.jpeg,static/results/detected_78a8844708_WhatsApp_Image_2026-06-26_at_6.44.47_PM_1.jpeg,0,9,0,0,0,0,0,0,9,0,9,0.6486,0.3559,0.8463,100.0,Cars,0.5,Medium,Low
2026-07-01 03:35:40,1d15e38cfb_WhatsApp_Image_2026-06-26_at_6.44.47_PM_1.jpeg,static/uploads/1d15e38cfb_WhatsApp_Image_2026-06-26_at_6.44.47_PM_1.jpeg,static/results/detected_1d15e38cfb_WhatsApp_Image_2026-06-26_at_6.44.47_PM_1.jpeg,0,9,0,0,0,0,0,0,9,0,9,0.6486,0.3559,0.8463,100.0,Cars,0.24,Medium,Low
2026-07-01 13:48:47,2ec3b8dd0f_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,static/uploads/2ec3b8dd0f_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,static/results/detected_2ec3b8dd0f_WhatsApp_Image_2026-06-26_at_6.44.47_PM.jpeg,0,22,0,0,0,0,0,0,22,0,22,0.5339,0.361,0.7313,100.0,Cars,0.56,High,Low
2026-07-01 20:12:10,d77cf2d756_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,static/uploads/d77cf2d756_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,static/results/detected_d77cf2d756_WhatsApp_Image_2026-06-26_at_6.45.15_PM_1.jpeg,0,9,0,0,0,0,0,0,9,0,9,0.7802,0.4422,0.9285,100.0,Cars,1.28,Medium,Low
2026-07-02 03:30:27,3c1fc96cb9_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,static/uploads/3c1fc96cb9_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,static/results/detected_3c1fc96cb9_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,2,3,0,0,0,0,0,0,3,2,5,0.4972,0.3636,0.742,60.0,Cars,1.56,Low,Low
2026-07-02 03:30:58,3cac81e302_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,static/uploads/3cac81e302_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,static/results/detected_3cac81e302_WhatsApp_Image_2026-06-28_at_5.51.00_PM.jpeg,2,3,0,0,0,0,0,0,3,2,5,0.4972,0.3636,0.742,60.0,Cars,0.23,Low,Low
